Name,frequency,mean_age
ANTONIO,715215,54.6
JOSE,641525,60
MANUEL,618891,54
FRANCISCO,530309,56
JUAN,367726,54.9
DAVID,359930,28.3
JOSE ANTONIO,316275,47.3
JAVIER,303247,30.9
JOSE LUIS,301752,51
FRANCISCO JAVIER,289325,42
DANIEL,287431,25.6
JESUS,285447,47
CARLOS,279356,37.1
MIGUEL,255008,45.7
ALEJANDRO,250968,24.1
JOSE MANUEL,246170,44.8
RAFAEL,244201,49.2
PEDRO,236128,52.5
MIGUEL ANGEL,228444,41.1
ANGEL,227241,49.4
JOSE MARIA,216373,52
FERNANDO,209826,47
PABLO,209241,26.2
LUIS,202754,51.1
SERGIO,202312,26
JORGE,190500,32.2
ALBERTO,179981,34.8
JUAN CARLOS,161182,42.7
JUAN JOSE,156691,46.5
ALVARO,150158,20.4
DIEGO,147597,31.5
ADRIAN,144663,17.3
RAUL,138561,28.9
JUAN ANTONIO,137040,46.7
ENRIQUE,134465,48.3
RAMON,131186,56.2
IVAN,130620,22.8
VICENTE,128141,57.3
RUBEN,125246,24.9
OSCAR,121969,31.5
ANDRES,119971,46
JOAQUIN,118155,52.7
JUAN MANUEL,114896,43.7
SANTIAGO,112725,46.5
EDUARDO,108492,42.9
VICTOR,104397,28.8
ROBERTO,98412,37.7
JAIME,97710,40
FRANCISCO JOSE,95972,38.9
MARIO,94940,23.6
IGNACIO,91455,38
ALFONSO,88026,49.3
MARCOS,86360,23.7
SALVADOR,85293,51.9
RICARDO,84282,47.1
JORDI,83330,37.1
EMILIO,77443,55.4
JULIAN,71608,55.5
GUILLERMO,71481,32.7
JULIO,70909,53.1
GABRIEL,69686,36.6
TOMAS,68010,52.7
AGUSTIN,66454,54.4
JOSE MIGUEL,65616,42.5
HUGO,64375,9
MARC,64203,18.5
GONZALO,63121,30.9
JOSE RAMON,60383,50.1
MOHAMED,60078,33.8
FELIX,60041,56.8
JOAN,56731,40.9
NICOLAS,55053,29.3
ISMAEL,54684,27.3
CRISTIAN,53137,21
SAMUEL,50810,19.1
MARTIN,48883,34.6
JOSEP,48737,52.3
MARIANO,48675,58.9
AITOR,48144,20.5
JUAN FRANCISCO,48076,43.4
DOMINGO,47972,59.6
ALFREDO,45488,51.1
JOSE CARLOS,45451,40.6
SEBASTIAN,45131,49
HECTOR,44250,19.5
CESAR,42909,38
FELIPE,42823,53.2
IKER,41154,12.1
JOSE ANGEL,41073,41.8
JOSE IGNACIO,40199,46.7
VICTOR MANUEL,39366,37.2
ALEX,37572,12.1
LUIS MIGUEL,37209,40.6
GREGORIO,36680,60
RODRIGO,35195,21.4
JOSE FRANCISCO,35135,45.4
LUCAS,34796,16.6
JUAN LUIS,34755,44.5
ALBERT,34010,31.1
XAVIER,34008,31.4
LORENZO,33042,54.2
ESTEBAN,32014,49.4
CRISTOBAL,31927,51.3
ANTONIO JOSE,30712,40.1
ARTURO,30146,42.8
EUGENIO,29909,58.8
BORJA,29814,22.7
PAU,28277,14.4
JOSE JAVIER,27953,42.5
JUAN MIGUEL,27295,42.7
JESUS MARIA,26945,51.5
ANTONIO JESUS,26667,33.8
JAUME,26510,44.5
FRANCISCO MANUEL,26108,38.5
AARON,26017,12.6
VALENTIN,25813,53.7
ISAAC,25694,29.4
GERMAN,25572,42.9
JONATHAN,24548,23.8
PEDRO JOSE,24467,42.9
JOSE VICENTE,24253,47.1
MATEO,24096,24.5
MOHAMMED,23762,35.9
ABEL,23635,30.5
ERIC,23504,13.2
ASIER,23502,19.2
JOEL,23382,12.9
MOISES,23005,35.6
ADOLFO,22934,53.8
JUAN RAMON,22626,47.4
MIKEL,22395,23.7
SERGI,22233,21.2
CHRISTIAN,22074,20.3
JUAN PEDRO,21989,44.7
BENITO,21623,60.5
AHMED,21589,41
ISIDRO,21483,56.9
MANUEL JESUS,21146,36.7
IÃ‘IGO,21047,28.5
UNAI,20833,15.6
ERNESTO,20823,48.7
BERNARDO,20638,54.9
GERARDO,20231,53
DARIO,19967,18.3
IZAN,19852,5.8
GERARD,19784,18.3
CARMELO,19753,55.5
MIQUEL,19696,38.3
JON,19490,22.8